STOP_ID;X;Y;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2
11758;-58.3684215987727;-34.6456420692;;;;;
11753;-58.4960368152450;-34.6456439549;;;;;
1005746;-58.5025217507738;-34.6456878300;PARADA NO OFICIAL;ALBARINO;793;;
1005529;-58.4309359057425;-34.6456885733;PARADA NO OFICIAL;BARROS PAZOS, JOSE;1691;ROSARIO DE LA FRONTERA;
1006279;-58.4669228857360;-34.6457201499;PARADAS DE POSTE;PERON, EVA AV.;3669;;
1005594;-58.3824555676898;-34.6457287184;PARADAS CON REFUGIO;AUSTRALIA AV.;2463;;
1004697;-58.4509390618746;-34.6457461571;PARADAS DE POSTE;VARELA AV.;1602;;
1007069;-58.4509390618746;-34.6457461571;PARADAS DE POSTE;VARELA AV.;1620;;
11772;-58.4145596117188;-34.6457488721;;;;;
1006282;-58.4670049593319;-34.6457579179;PARADAS DE POSTE;PERON, EVA AV.;3683;;
1005577;-58.4162710776298;-34.6458059436;PARADAS DE POSTE;SAENZ AV.;551;;
1006210;-58.4916886373580;-34.6458463541;PARADA NO OFICIAL;BRUIX AV.;4708;;
1005714;-58.5215543088539;-34.6458589977;PARADAS DE POSTE;GORDILLO, TIMOTEO;616;;
1005528;-58.4312663570344;-34.6459097008;PARADAS DE POSTE;BARCO CENTENERA DEL AV.;2391;;
1006273;-58.4965011225687;-34.6459530012;PARADAS DE POSTE;ALBERDI, JUAN BAUTISTA AV.;5055;;
1005338;-58.3730733525956;-34.6459960852;PARADA NO OFICIAL;MONTES DE OCA, MANUEL;1648;;
1005827;-58.4086600580193;-34.6459994299;PARADA NO OFICIAL;FAMATINA;3337;;
11813;-58.4161661974069;-34.6460059120;;;;;
1005531;-58.4308098689970;-34.6460093066;PARADA NO OFICIAL;BARCO CENTENERA DEL AV.;2410;;
11880;-58.4670998915942;-34.6460236549;;;;;
1005265;-58.3682850268481;-34.6460260716;PARADA NO OFICIAL;REGIMIENTO DE PATRICIOS AV.;1774;;
1005592;-58.3835068217797;-34.6460469296;PARADAS DE POSTE;AUSTRALIA AV.;2572;;
1005326;-58.3684423384873;-34.6460499707;PARADAS DE POSTE;REGIMIENTO DE PATRICIOS AV.;1747;;
1005337;-58.3730588062356;-34.6460743599;PARADAS CON REFUGIO;MONTES DE OCA, MANUEL;1656;;
12018;-58.3839210087002;-34.6460775163;;;;;
1005576;-58.4162719335468;-34.6461144025;PARADAS DE POSTE;SAENZ AV.;579;;
1006085;-58.4738296137262;-34.6461276588;PARADAS DE POSTE;LACARRA AV.;1287;;
1006419;-58.5286077250671;-34.6461390877;PARADA NO OFICIAL;PAZ, GRAL. AV. COLECTORA;11212;;
1006032;-58.5031532756530;-34.6461555243;PARADAS CON REFUGIO;CASTRO, EMILIO AV.;5681;;
1006024;-58.5034545271695;-34.6461577094;PARADA NO OFICIAL;MIRALLA;780;;
11828;-58.3708421485672;-34.6461639323;;;;;
11824;-58.4094691017452;-34.6461803611;;;;;
1006374;-58.5296627698925;-34.6461860835;PARADA NO OFICIAL;PAZ, GRAL. AV. COLECTORA;623;;
1005370;-58.3733101545774;-34.6462164370;PARADAS DE POSTE;MONTES DE OCA, MANUEL;1665;;
1005333;-58.3710102113751;-34.6462590261;PARADAS DE POSTE;CALIFORNIA;1518;;
1006809;-58.4349859006234;-34.6462648835;PARADAS DE POSTE;RIESTRA AV.;1806;;
1006051;-58.4671980865741;-34.6462912744;PARADAS DE POSTE;PERON, EVA AV.;3718;;
267;-58.4021607596076;-34.6463092800;;;;;
1003804;-58.4585038630433;-34.6463164884;PARADAS CON REFUGIO;ALVAREZ, CRISOSTOMO;2995;;
1006209;-58.4898801919367;-34.6463181751;PARADA NO OFICIAL;BRUIX AV.;4608;;
11840;-58.4184022472340;-34.6463251348;;;;;
11839;-58.4895961506689;-34.6463259185;;;;;
11842;-58.4967878420116;-34.6463361629;;;;;
1005168;-58.4037577124265;-34.6463447810;PARADAS DE POSTE;MONTEAGUDO;800;;
11847;-58.4161700093107;-34.6463517692;;;;;
1007070;-58.4504511858005;-34.6463784971;PARADAS CON REFUGIO;VARELA AV.;1671;SARAZA;
11858;-58.3718907334864;-34.6463900061;;;;;
1004708;-58.4545160800037;-34.6463928315;PARADA NO OFICIAL;BALBASTRO;2800;;
11857;-58.3782194402593;-34.6463942729;;;;;
1005371;-58.3732739166009;-34.6464105687;PARADAS CON REFUGIO;MONTES DE OCA, MANUEL;1679;;
1004699;-58.4503935349516;-34.6464248678;PARADAS CON REFUGIO;VARELA AV.;1687;;
1005061;-58.3755690647343;-34.6464642086;PARADA NO OFICIAL;HERRERA;1739;;
15163;-58.4526871142365;-34.6464833374;;;;;
1006284;-58.4673430474799;-34.6464977885;PARADAS DE POSTE;PERON, EVA AV.;3742;;
1006034;-58.5035651125222;-34.6464984702;PARADAS DE POSTE;CASTRO, EMILIO AV.;5734;;
1005590;-58.3860119749220;-34.6465062920;PARADAS CON REFUGIO;AUSTRALIA AV.;2779;;
1006070;-58.4710256866333;-34.6465197389;PARADA NO OFICIAL;LAGUNA;1308;;
1005372;-58.3732531569889;-34.6465261144;PARADAS CON REFUGIO;MONTES DE OCA, MANUEL;1687;;
11879;-58.4664338725348;-34.6465557357;;;;;
1006047;-58.4969433085035;-34.6465978828;PARADAS DE POSTE;ALBERDI, JUAN BAUTISTA AV.;5150;;
1006050;-58.4969433085035;-34.6465978828;PARADAS DE POSTE;ALBERDI, JUAN BAUTISTA AV.;5152;;
11888;-58.3790862991924;-34.6466038908;;;;;
1005826;-58.4123617654522;-34.6466181048;PARADA NO OFICIAL;FAMATINA;3595;;
11900;-58.5259356832720;-34.6466823596;;;;;
1005574;-58.4160775866310;-34.6467087252;PARADAS DE POSTE;SAENZ AV.;630;;
1005327;-58.3683437932790;-34.6467269916;PARADAS CON REFUGIO;REGIMIENTO DE PATRICIOS AV.;1819;;
11911;-58.3877187140542;-34.6467419729;;;;;
1006375;-58.5296497735835;-34.6467710969;PARADA NO OFICIAL;PAZ, GRAL. AV. COLECTORA;693;;
12003;-58.3885122933948;-34.6467840793;;;;;
11925;-58.4901751016344;-34.6468305232;;;;;
1004715;-58.4581283998926;-34.6468447879;PARADA NO OFICIAL;LAFUENTE AV.;1420;;
1005573;-58.4162932641740;-34.6468564464;PARADAS DE POSTE;SAENZ AV.;623;;
1006370;-58.5258752742539;-34.6468832777;PARADA NO OFICIAL;MONTIEL;714;;
1006208;-58.4875301218264;-34.6469206027;PARADAS DE POSTE;BRUIX AV.;4476;;
11935;-58.5075925626736;-34.6469229638;;;;;
1005059;-58.3754486288598;-34.6469383892;PARADA NO OFICIAL;HERRERA;1793;;
1006206;-58.4873624945079;-34.6469617494;PARADA NO OFICIAL;BRUIX AV.;4466;;
1006207;-58.4873624945079;-34.6469617494;PARADA NO OFICIAL;BRUIX AV.;4466;;
1005562;-58.4194117379977;-34.6469820667;PARADAS DE POSTE;LA PLATA AV.;2781;;
1005825;-58.4147553373830;-34.6470139578;PARADAS DE POSTE;FAMATINA;3763;;
1006205;-58.4871282223650;-34.6470192546;PARADA NO OFICIAL;BRUIX AV.;4450;;
1005335;-58.3728915372084;-34.6470199216;PARADAS DE POSTE;MONTES DE OCA, MANUEL;1728;;
1005336;-58.3728915372084;-34.6470199216;PARADAS DE POSTE;MONTES DE OCA, MANUEL;1732;;
1004700;-58.4493418014731;-34.6470302388;PARADAS CON REFUGIO;VARELA AV.;1790;;
1006059;-58.4682672490422;-34.6470331865;PARADA NO OFICIAL;MARTINEZ CASTRO;1377;;
11948;-58.4975472356452;-34.6470359697;;;;;
1005328;-58.3682937077605;-34.6470630740;PARADAS CON REFUGIO;REGIMIENTO DE PATRICIOS AV.;1845;;
1006168;-58.4842170876848;-34.6470683319;PARADAS CON REFUGIO;OLIVERA AV.;;MORETO;MOZART
